Wavelength(nm)	T%
1100		0.014252035
1099.5		0.013994076
1099		0.014045568
1098.5		0.013646774
1098		0.014046187
1097.5		0.0137688
1097		0.013675733
1096.5		0.013637445
1096		0.013657276
1095.5		0.013735181
1095		0.013969187
1094.5		0.013758912
1094		0.013805815
1093.5		0.01389771
1093		0.013892772
1092.5		0.013400808
1092		0.013963736
1091.5		0.014043576
1091		0.014169418
1090.5		0.013998653
1090		0.014106495
1089.5		0.013397701
1089		0.013303051
1088.5		0.014262974
1088		0.014465812
1087.5		0.014285358
1087		0.014885065
1086.5		0.014713251
1086		0.014314669
1085.5		0.015265605
1085		0.014567517
1084.5		0.014766477
1084		0.015039665
1083.5		0.015258114
1083		0.015902702
1082.5		0.014876199
1082		0.015700068
1081.5		0.015849691
1081		0.015836913
1080.5		0.016056024
1080		0.016260024
1079.5		0.016426412
1079		0.016049352
1078.5		0.016450686
1078		0.015850326
1077.5		0.016564028
1077		0.016987387
1076.5		0.016926242
1076		0.016734857
1075.5		0.016978098
1075		0.017399697
1074.5		0.017265238
1074		0.017111221
1073.5		0.017128969
1073		0.017139152
1072.5		0.016694397
1072		0.017047672
1071.5		0.016640445
1071		0.016994122
1070.5		0.017047836
1070		0.016954675
1069.5		0.016842362
1069		0.016584363
1068.5		0.016319985
1068		0.01668998
1067.5		0.015831869
1067		0.015748577
1066.5		0.015791062
1066		0.015640832
1065.5		0.014769334
1065		0.01463682
1064.5		0.01517668
1064		0.014602571
1063.5		0.014292299
1063		0.013749591
1062.5		0.013217501
1062		0.013147242
1061.5		0.013024418
1061		0.012718255
1060.5		0.012438048
1060		0.011953716
1059.5		0.011744994
1059		0.01164661
1058.5		0.011571752
1058		0.011045956
1057.5		0.010842184
1057		0.010141182
1056.5		0.010449931
1056		0.010270542
1055.5		0.009908797
1055		0.009569101
1054.5		0.009568363
1054		0.009362715
1053.5		0.009138871
1053		0.008671504
1052.5		0.008502493
1052		0.008414351
1051.5		0.00793109
1051		0.008062473
1050.5		0.007639934
1050		0.007236573
1049.5		0.007372053
1049		0.006856404
1048.5		0.006855912
1048		0.006659588
1047.5		0.007135934
1047		0.006629081
1046.5		0.006603824
1046		0.006606961
1045.5		0.005983918
1045		0.006542597
1044.5		0.006358645
1044		0.006234129
1043.5		0.005952655
1043		0.005983878
1042.5		0.005738159
1042		0.005560133
1041.5		0.005802248
