Wavelength(nm)	T%
1100		0.007580611
1099.5		0.007217569
1099		0.006749007
1098.5		0.006817421
1098		0.006699649
1097.5		0.006377864
1097		0.006112098
1096.5		0.006300741
1096		0.005481807
1095.5		0.00529526
1095		0.005030914
1094.5		0.00514137
1094		0.00530575
1093.5		0.004514816
1093		0.004575627
1092.5		0.004581562
1092		0.00423852
1091.5		0.004391818
1091		0.003944179
1090.5		0.003633082
1090		0.003161527
1089.5		0.003291968
1089		0.003515797
1088.5		0.003262366
1088		0.00264353
1087.5		0.003444974
1087		0.003049738
1086.5		0.002730116
1086		0.003036411
1085.5		0.002447229
1085		0.001661666
1084.5		0.002023164
1084		0.002214327
1083.5		0.001988209
1083		0.002080371
1082.5		0.002200335
1082		0.001765128
1081.5		0.001931496
1081		0.001946748
1080.5		0.001335916
1080		0.001055827
1079.5		0.001939379
1079		0.001309821
1078.5		0.001297166
1078		0.00134464
1077.5		0.001734343
1077		0.001130763
1076.5		0.000925431
1076		0.000698722
1075.5		0.000746296
1075		0.000765885
1074.5		0.000480863
1074		0.000837428
1073.5		0.000731348
1073		0.000611424
1072.5		0.000831022
1072		0.000473029
1071.5		0.000820777
1071		0.000637746
1070.5		0.000866807
1070		6.43E-05
1069.5		0.000474362
1069		0.000601313
1068.5		0.00033267
1068		0.000598077
1067.5		0.000292517
1067		0.000225319
1066.5		0.000401226
1066		0.000103851
1065.5		-0.000136473
1065		0.000246142
1064.5		0.00020471
1064		-3.31E-07
1063.5		3.45E-05
1063		0.000245685
1062.5		0.0002565
1062		0.00027905
1061.5		0.000616662
1061		0.000151858
1060.5		-0.000335694
1060		-0.000524374
1059.5		0.000356879
1059		-0.000337699
1058.5		0.000275502
1058		-0.000219797
1057.5		9.55E-05
1057		0.000218028
1056.5		0.000343062
1056		-0.000386679
1055.5		0.000157031
1055		-0.000723801
1054.5		-0.000326526
1054		-0.000474742
1053.5		-0.00086474
1053		-0.000208096
1052.5		-8.56E-05
1052		-0.000519736
1051.5		-5.01E-05
1051		-0.00082847
1050.5		0.000299709
1050		-0.000193998
1049.5		-0.000446041
1049		-0.000555335
1048.5		-0.000608425
1048		-0.000219129
1047.5		-0.000230591
1047		-0.000113261
1046.5		-0.000264041
1046		-0.000914711
1045.5		-0.000247801
1045		-0.000666925
1044.5		-0.000320715
1044		-0.000522667
1043.5		-0.000742273
1043		-0.000241368
1042.5		-0.00024379
1042		-0.001004987
1041.5		-0.000725297
1041		-0.000538141
1040.5		-0.000397402
1040		-0.000864728
1039.5		-0.00025794
1039		-0.000493059
1038.5		-0.000655646
1038		-0.000618179
1037.5		-0.000257026
1037		-0.000537122
1036.5		-0.000381236
1036		-0.000848427
1035.5		-0.000174305
1035		-0.000593113
1034.5		-0.000731503
1034		-0.000301174
1033.5		-0.00048798
1033		-0.000298771
1032.5		-0.00091676
1032		-0.000751994
1031.5		-0.001260876
