Wavelength(nm)	T%
1100		0.006836969
1099.5		0.006296307
1099		0.006548975
1098.5		0.006840398
1098		0.006271185
1097.5		0.006393229
1097		0.005724835
1096.5		0.005600945
1096		0.005706133
1095.5		0.005947163
1095		0.006197781
1094.5		0.005950672
1094		0.004906488
1093.5		0.004775127
1093		0.005322456
1092.5		0.005240797
1092		0.005042103
1091.5		0.004546552
1091		0.004374792
1090.5		0.004130705
1090		0.004589513
1089.5		0.004565529
1089		0.004186067
1088.5		0.004049875
1088		0.003834457
1087.5		0.003981593
1087		0.004095857
1086.5		0.004253884
1086		0.003665861
1085.5		0.002974917
1085		0.003447049
1084.5		0.003302152
1084		0.003594114
1083.5		0.003132564
1083		0.0029489
1082.5		0.003015572
1082		0.003623293
1081.5		0.003187532
1081		0.002583337
1080.5		0.002407226
1080		0.002277192
1079.5		0.003038598
1079		0.003002951
1078.5		0.001723641
1078		0.002299951
1077.5		0.00290946
1077		0.003243968
1076.5		0.002585473
1076		0.002606461
1075.5		0.002232272
1075		0.002025923
1074.5		0.002096769
1074		0.002697476
1073.5		0.001752192
1073		0.001780865
1072.5		0.002346369
1072		0.001998625
1071.5		0.001424849
1071		0.002411549
1070.5		0.001831624
1070		0.001749163
1069.5		0.001931124
1069		0.001880597
1068.5		0.002006412
1068		0.001792653
1067.5		0.001567374
1067		0.001631359
1066.5		0.001416606
1066		0.001193971
1065.5		0.001738864
1065		0.001521212
1064.5		0.001398811
1064		0.001710303
1063.5		0.001506135
1063		0.001439209
1062.5		0.001443198
1062		0.001305561
1061.5		0.001379081
1061		0.001906794
1060.5		0.001273237
1060		0.001454625
1059.5		0.001615086
1059		0.001273356
1058.5		0.001444229
1058		0.001138308
1057.5		0.000736304
1057		0.0009743
1056.5		0.000976094
1056		0.000940092
1055.5		0.00103973
1055		0.00069565
1054.5		0.000404218
1054		0.00055078
1053.5		0.000780721
1053		0.000433173
1052.5		0.000519278
1052		0.000900034
1051.5		0.000950424
1051		0.000734194
1050.5		0.000587843
1050		0.000455456
1049.5		0.001038357
1049		0.000210538
1048.5		0.000615306
1048		0.000634974
1047.5		0.00054179
1047		0.000384461
1046.5		0.000433067
1046		0.000940075
1045.5		0.000724912
1045		0.00077288
1044.5		0.000481694
1044		0.000796496
1043.5		0.000902751
1043		0.000565826
1042.5		0.000354155
1042		0.000356644
1041.5		2.84E-06
1041		0.00035135
1040.5		0.000399064
1040		0.000530842
1039.5		0.000821502
1039		0.000336578
1038.5		0.00023683
1038		0.000159179
1037.5		0.000907483
1037		4.71E-05
1036.5		0.000606624
1036		0.000399675
1035.5		-0.000209085
1035		-7.60E-05
1034.5		0.000603144
1034		-4.94E-05
1033.5		0.00058708
1033		0.000318821
1032.5		4.87E-05
1032		0.000129363
1031.5		0.000402318
1031		0.000363012
1030.5		1.52E-05
1030		2.36E-05
1029.5		4.06E-05
1029		0.000218307
1028.5		5.73E-05
1028		3.48E-05
1027.5		9.87E-05
1027		0.000258404
1026.5		0.000621081
1026		6.53E-05
1025.5		0.000148698
1025		0.000359217
1024.5		-0.000181641
1024		0.000251268
1023.5		-0.000151178
1023		0.000342892
1022.5		-0.00031105
1022		0.000252064
1021.5		0.000505122
1021		-0.000310527
1020.5		0.000143589
1020		-8.09E-05
1019.5		5.50E-05
1019		1.77E-05
1018.5		0.000140853
1018		-2.84E-05
1017.5		-0.000150452
1017		-6.16E-05
1016.5		0.000328344
1016		0.000176125
