Wavelength(nm)	T%
1100		95.34515381
1099.5		95.42957306
1099		95.47744751
1098.5		95.45587921
1098		95.62256622
1097.5		95.69612122
1097		95.77069855
1096.5		95.78495026
1096		95.85075378
1095.5		95.93766022
1095		95.95688629
1094.5		96.01213074
1094		96.08690643
1093.5		96.12198639
1093		96.16876221
1092.5		96.20684814
1092		96.25997925
1091.5		96.30467224
1091		96.31175232
1090.5		96.35866547
1090		96.40721893
1089.5		96.41014862
1089		96.43787384
1088.5		96.48479462
1088		96.48464966
1087.5		96.49417114
1087		96.51116943
1086.5		96.52451324
1086		96.53951263
1085.5		96.51953125
1085		96.52351379
1084.5		96.54415894
1084		96.52045441
1083.5		96.50164795
1083		96.5220871
1082.5		96.48858643
1082		96.46164703
1081.5		96.46520996
1081		96.4324646
1080.5		96.39692688
1080		96.373703
1079.5		96.35516357
1079		96.30480194
1078.5		96.27603149
1078		96.22129059
1077.5		96.20227814
1077		96.14724731
1076.5		96.08427429
1076		96.05530548
1075.5		95.99485779
1075		95.92246246
1074.5		95.90536499
1074		95.8263092
1073.5		95.74064636
1073		95.72664642
1072.5		95.65888214
1072		95.55735779
1071.5		95.53189087
1071		95.46298218
1070.5		95.36271667
1070		95.33118439
1069.5		95.26142883
1069		95.15309143
1068.5		95.11513519
1068		95.03974915
1067.5		94.93211365
1067		94.89064026
1066.5		94.82807159
1066		94.69567871
1065.5		94.68213654
1065		94.61026764
1064.5		94.47851563
1064		94.44345856
1063.5		94.37863922
1063		94.27401733
1062.5		94.23748779
1062		94.16030884
1061.5		94.06365967
1061		94.03340912
1060.5		93.93511963
1060		93.86228943
1059.5		93.83796692
1059		93.72449493
1058.5		93.66600037
1058		93.6524353
1057.5		93.52878571
1057		93.4934845
1056.5		93.46975708
1056		93.35729218
1055.5		93.32479095
1055		93.30413055
1054.5		93.21858978
1054		93.18792725
1053.5		93.15712738
1053		93.10477448
1052.5		93.06364441
1052		93.01901245
1051.5		93.01663971
1051		92.96183777
1050.5		92.91163635
1050		92.93653107
1049.5		92.8800354
1049		92.85597229
1048.5		92.88323975
1048		92.82041931
1047.5		92.83008575
1047		92.83955383
1046.5		92.81221771
1046		92.82842255
1045.5		92.81443787
1045		92.8497467
1044.5		92.85263062
1044		92.83034515
1043.5		92.89940643
1043		92.88547516
1042.5		92.89160919
1042		92.95396423
1041.5		92.94915771
1041		92.99514771
1040.5		93.02281189
1040		93.05813599
1039.5		93.10858917
1039		93.10382843
1038.5		93.21685028
1038		93.22486115
1037.5		93.26625824
1037		93.3345108
1036.5		93.35892487
1036		93.43399048
1035.5		93.45952606
1035		93.54447937
1034.5		93.60299683
1034		93.63022614
1033.5		93.74242401
1033		93.78110504
1032.5		93.85927582
1032		93.913414
1031.5		93.97952271
1031		94.06312561
1030.5		94.1026001
1030		94.20594788
1029.5		94.26011658
1029		94.34333801
1028.5		94.39149475
1028		94.48664856
1027.5		94.56916809
1027		94.61047363
1026.5		94.69618988
1026		94.7742157
1025.5		94.86071014
1025		94.88967133
1024.5		95.00657654
1024		95.06298828
1023.5		95.1158905
1023		95.20349884
1022.5		95.2576828
1022		95.33624268
1021.5		95.39902496
1021		95.46658325
1020.5		95.51558685
1020		95.5797348
1019.5		95.64793396
1019		95.70662689
1018.5		95.73155975
1018		95.79428101
1017.5		95.87501526
1017		95.89469147
1016.5		95.94161224
1016		95.98378754
1015.5		96.05293274
1015		96.05518341
1014.5		96.08974457
1014		96.13855743
1013.5		96.18251038
1013		96.19335175
1012.5		96.19770813
1012		96.24647522
1011.5		96.27359772
1011		96.24684906
1010.5		96.27103424
1010		96.29109192
1009.5		96.31504822
1009		96.30474091
1008.5		96.28466034
1008		96.31046295
1007.5		96.30405426
1007		96.28974915
1006.5		96.25699615
1006		96.26522064
1005.5		96.26119232
1005		96.22668457
1004.5		96.17579651
1004		96.17180634
1003.5		96.1620636
1003		96.12447357
1002.5		96.05905151
1002		96.04396057
1001.5		96.0242157
1001		95.98556519
1000.5		95.91773987
1000		95.87766266
999.5		95.86074066
999		95.81694794
998.5		95.74852753
998		95.6901474
997.5		95.66423798
997		95.6112442
996.5		95.55937958
996		95.48878479
